PFU_machine,Substitution_machine,Comment
Air compressors -> HPA,Electric pumps -> HPL,
Charcoal stoves -> LTH.20.C,Electric space heaters -> LTH.20.C,
Charcoal stoves -> MTH.100.C,Domestic electric ovens -> MTH.200.C,
Computers -> IP,Computers -> IP,
Diesel HDVs -> RoP,Electric cars -> RoP,
Domestic appliances -> MD,Domestic appliances -> MD,
Domestic electric lamps -> L,Domestic electric lamps -> L,
Domestic electric ovens -> MTH.200.C,Domestic electric ovens -> MTH.200.C,
Domestic gas ovens -> MTH.200.C,Domestic electric ovens -> MTH.200.C,
Electric cars -> RoP,Electric cars -> RoP,
Electric pumps -> HPL,Electric pumps -> HPL,
Electric space heaters -> LTH.20.C,Electric space heaters -> LTH.20.C,
Electro-chemical processors -> HTH.960.C,Electro-chemical processors -> HTH.960.C,
Gas space heaters -> LTH.20.C,Electric space heaters -> LTH.20.C,
Gas water heaters -> MTH.100.C,Electric water heaters -> MTH.100.C,
Gasoline LDVs -> RoP,Electric cars -> RoP,
Gasoline motorcycles -> RoP,Electric cars -> RoP,
HVAC -> LTC.20.C,HVAC -> LTC.20.C,
Industrial electric lamps -> L,Industrial electric lamps -> L,
Industrial electric process heaters -> HTH.600.C,Industrial electric process heaters -> HTH.600.C,
Industrial fans -> KE,Industrial fans -> KE,
Industrial refrigerators -> LTC.-10.C,Industrial refrigerators -> LTC.-10.C,
Machine tools -> MacW,Machine tools -> MacW,
Material handlers -> MacW,Material handlers -> MacW,
Non-energy consumption -> NEU,Non-energy consumption -> NEU,
Oil space heaters -> LTH.20.C,Electric space heaters -> LTH.20.C,
Oil water heaters -> MTH.100.C,Electric water heaters -> MTH.100.C,
Refrigerators -> LTC.-10.C,Refrigerators -> LTC.-10.C,
Room air conditioners -> LTC.20.C,Room air conditioners -> LTC.20.C,
Static diesel engines -> MD,Electric cars -> RoP,
Steam cracking furnaces -> HTH.850.C,Steam cracking furnaces -> HTH.850.C,
Wood stoves -> LTH.20.C,Electric space heaters -> LTH.20.C,
Wood stoves -> LTH.50.C,Electric space heaters -> LTH.20.C,
Wood stoves -> MTH.100.C,Domestic electric ovens -> MTH.200.C,
Wood stoves -> MTH.200.C,Domestic electric ovens -> MTH.200.C,
Commercial gas ovens -> MTH.200.C,Commercial electric ovens -> MTH.200.C,
Diesel bulldozers -> MacW,Electric cars -> RoP,
Diesel haulage trucks -> RoP,Electric cars -> RoP,
Diesel hydraulic mobiles -> MacW,Electric hydraulic mobiles -> MacW,
Kerosene stoves -> MTH.100.C,Domestic electric ovens -> MTH.200.C,
LPG stoves -> LTH.20.C,Electric space heaters -> LTH.20.C,
LPG stoves -> LTH.50.C,Electric space heaters -> LTH.20.C,
LPG stoves -> MTH.100.C,Domestic electric ovens -> MTH.200.C,
LPG stoves -> MTH.200.C,Domestic electric ovens -> MTH.200.C,
Static gasoline engines -> MD,Electric cars -> RoP,
Tractors -> MacW,Electric cars -> RoP,
Natural gas vehicles -> RoP,Electric cars -> RoP,
Domestic aircraft -> AirP,Domestic aircraft -> AirP,
Domestic boats -> MaP,Domestic boats -> MaP,
Blast oxygen furnaces -> HTH.1600.C,Blast oxygen furnaces -> HTH.1600.C,
Coal stoves -> LTH.20.C,Electric space heaters -> LTH.20.C,
Coal stoves -> LTH.50.C,Electric space heaters -> LTH.20.C,
Coal stoves -> MTH.100.C,Domestic electric ovens -> MTH.200.C,
Coal stoves -> MTH.200.C,Domestic electric ovens -> MTH.200.C,
Commercial electric ovens -> MTH.200.C,Commercial electric ovens -> MTH.200.C,
Commercial indoor electric lamps -> L,Commercial indoor electric lamps -> L,
Commercial outdoor electric lamps -> L,Commercial outdoor electric lamps -> L,
Electric water heaters -> MTH.100.C,Electric water heaters -> MTH.100.C,
Heat machines -> MTH.300.C,Heat machines -> MTH.300.C,
Ammonia synthesizers -> HTH.400.C,Ammonia synthesizers -> HTH.400.C,
Clinker kilns -> HTH.1000.C,Clinker kilns -> HTH.1000.C,
Bayer kilns -> MTH.200.C,Bayer kilns -> MTH.200.C,
Diesel pumps -> HPL,Electric pumps -> HPL,
Diesel rock borers -> MF,Electric continuous miners -> MF,
Diesel trains -> RaP,Electric trains -> RaP,
Electric arc furnaces -> HTH.1600.C,Electric arc furnaces -> HTH.1600.C,
Electric cable cranes -> MacW,Electric cable cranes -> MacW,
Electric cable shovels -> MacW,Electric cable shovels -> MacW,
Electric continuous miners -> MF,Electric continuous miners -> MF,
Electric hand tools -> MacW,Electric hand tools -> MacW,
Electric hydraulic mobiles -> MacW,Electric hydraulic mobiles -> MacW,
Electrolytic smelters -> HTH.960.C,Electrolytic smelters -> HTH.960.C,
Fishing vessels -> MaP,Fishing vessels -> MaP,
Ore grinding mills -> MF,Ore grinding mills -> MF,
Small scale biomass boilers -> HTH.1300.C,Electric water heaters -> MTH.100.C,
Solar thermal water heaters -> LTH.60.C,Electric water heaters -> MTH.100.C,
Electric trains -> RaP,Electric trains -> RaP,
Steam trains -> RaP,Electric trains -> RaP,
Kerosene lamps -> L,Domestic electric lamps -> L,
Pipeline gas compressors -> HPNG,Electric pumps -> HPL,
Steam boats -> MaP,Steam boats -> MaP,
Town gas lamps -> L,Domestic electric lamps -> L,
Ground source heat pumps -> LTH.20.C,Heat pumps -> LTH.20.C,
Diesel LDVs -> RoP,Electric cars -> RoP,
Televisions -> L,Televisions -> L,
Domestic fans -> KE,Domestic fans -> KE,
Paper machines -> MacW,Paper machines -> MacW,
International aircraft -> AirP,International aircraft -> AirP,
Bulk carrier ships -> MaP,Bulk carrier ships -> MaP,
Container ships -> MaP,Container ships -> MaP,
General cargo ships -> MaP,General cargo ships -> MaP,
Tanker ships -> MaP,Tanker ships -> MaP,
Gas pump jacks -> HPL,Electric pumps -> HPL,
Heat pumps -> LTH.20.C,Heat pumps -> LTH.20.C,
Heat machines -> LTH.20.C,Electric space heaters -> LTH.20.C,
Oil lamps -> L,Domestic electric lamps -> L,
Oil space heaters -> MTH.200.C,Electric water heaters -> MTH.100.C,
Oil water heaters -> MTH.200.C,Electric water heaters -> MTH.100.C,
Electric pipeline gas compressors -> HPNG,Electric pipeline gas compressors -> HPNG,
Heat machines -> HTH.1600.C,Heat machines -> HTH.1600.C,
Heat machines -> HTH.1000.C,Heat machines -> HTH.1000.C,
Heat machines -> HTH.400.C,Heat machines -> HTH.400.C,
Heat machines -> MTH.200.C,Heat machines -> MTH.200.C,
Heat machines -> MTH.100.C,Heat machines -> MTH.100.C,
Natural gas pipeline gas compressors -> HPNG,Electric pipeline gas compressors -> HPNG,
Small scale biomass boilers -> MTH.100.C,Electric water heaters -> MTH.100.C,
Small scale biomass boilers -> MTH.200.C,Electric water heaters -> MTH.100.C,
Small scale biomass boilers -> LTH.50.C,Electric water heaters -> MTH.100.C,
Small scale biomass boilers -> LTH.20.C,Electric water heaters -> MTH.100.C,
